pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45
3343,3855,5391,4367,4623,5647,5903,6159,7183,15887,65535,65535,65535,65535,65535,65535,65535,65535,5647,4879,6159,4879,4111,5391,5647,5135,9615,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3855,5391,4367,4623,5647,5903,6159,7183,15887,65535,65535,65535,65535,65535,65535,65535,65535,5647,4879,6159,4879,4111,5391,5647,5135,9231,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3855,5391,4367,4623,5647,5903,6159,7183,15887,65535,65535,65535,65535,65535,65535,65535,65535,5647,4623,5903,4623,4111,5135,5519,5007,9231,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3855,5391,4367,4623,5647,6031,6159,7183,15887,65535,65535,65535,65535,65535,65535,65535,65535,5647,4623,5647,4623,3983,5135,5135,4879,8975,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3855,5391,4367,4623,5647,6031,6159,7439,15887,65535,65535,65535,65535,65535,65535,65535,65535,5391,4623,5647,4367,3855,4879,5135,4623,8719,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3983,5391,4367,4623,5647,6031,6159,7439,15887,65535,65535,65535,65535,65535,65535,65535,65535,5135,4495,5519,4111,3855,4623,4879,4495,8463,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3983,5391,4367,4623,5647,6031,6159,7439,15887,65535,65535,65535,65535,65535,65535,65535,65535,5135,4367,5135,4111,3599,4623,4623,4367,8207,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3983,5391,4367,4623,5903,6159,6415,7439,15887,65535,65535,65535,65535,65535,65535,65535,65535,4879,4111,5135,3855,3471,4367,4495,4111,7695,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3983,5391,4367,4623,5903,6159,6415,7439,15887,65535,65535,65535,65535,65535,65535,65535,65535,4623,4111,4879,3599,3343,4111,4111,3983,7439,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3983,5391,4367,4623,5903,6159,6415,7567,15887,65535,65535,65535,65535,65535,65535,65535,65535,4623,3855,4623,3599,3087,3983,4111,3855,7183,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3983,5391,4367,4623,5903,6159,6415,7567,15887,65535,65535,65535,65535,65535,65535,65535,65535,4367,3855,4367,3343,3087,3855,3855,3599,6671,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
