pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45
3343,3855,5135,4367,4623,5647,5903,6159,7183,15887,65535,65535,65535,65535,65535,65535,65535,65535,5135,4495,5647,4623,4111,5135,5391,5007,8975,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3855,5135,4367,4623,5647,5903,6159,7183,16399,65535,65535,65535,65535,65535,65535,65535,65535,5135,4495,5647,4623,3983,5135,5135,4879,8719,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3855,5391,4367,4623,5647,5903,6159,7183,16399,65535,65535,65535,65535,65535,65535,65535,65535,5135,4367,5391,4367,3855,4879,5135,4623,8719,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3855,5391,4367,4623,5647,5903,6159,7183,16399,65535,65535,65535,65535,65535,65535,65535,65535,5007,4367,5135,4111,3599,4623,4879,4623,8207,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3983,5391,4367,4623,5647,5903,6159,7183,16399,65535,65535,65535,65535,65535,65535,65535,65535,4879,4111,5135,4111,3599,4623,4623,4367,8207,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3983,5391,4367,4623,5647,6031,6159,7183,16399,65535,65535,65535,65535,65535,65535,65535,65535,4623,4111,4879,3855,3471,4367,4495,4111,7695,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3983,5391,4367,4623,5647,6031,6415,7183,16399,65535,65535,65535,65535,65535,65535,65535,65535,4623,3855,4623,3791,3343,4111,4367,4111,7567,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3983,5391,4367,4623,5647,6031,6415,7439,16399,65535,65535,65535,65535,65535,65535,65535,65535,4367,3855,4623,3599,3087,3983,4111,3855,7183,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3983,5391,4367,4623,5903,6031,6159,7439,16399,65535,65535,65535,65535,65535,65535,65535,65535,4111,3599,4367,3343,3087,3855,3855,3599,6671,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3983,5391,4367,4623,5903,6159,6415,7439,16399,65535,65535,65535,65535,65535,65535,65535,65535,4111,3599,4111,3087,2959,3599,3599,3535,6671,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3983,5391,4367,4623,5903,6159,6415,7567,16399,65535,65535,65535,65535,65535,65535,65535,65535,3855,3343,3983,3087,2831,3471,3535,3343,6159,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3983,5391,4367,4623,5903,6159,6415,7567,16399,65535,65535,65535,65535,65535,65535,65535,65535,3855,3343,3855,2959,2575,3343,3343,3087,6031,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3983,5391,4367,4623,5903,6159,6415,7567,16399,65535,65535,65535,65535,65535,65535,65535,65535,3599,3087,3599,2831,2575,3087,3087,3087,5647,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3983,5391,4367,4623,5903,6159,6415,7567,16399,65535,65535,65535,65535,65535,65535,65535,65535,3599,3087,3471,2575,2511,3023,3087,2959,5647,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3983,5391,4367,4623,5903,6159,6415,7567,16399,65535,65535,65535,65535,65535,65535,65535,65535,3471,2959,3343,2575,2447,2831,2959,2831,5391,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3983,5391,4367,4623,5903,6159,6415,7695,16399,65535,65535,65535,65535,65535,65535,65535,65535,3343,2831,3087,2511,2319,2831,2831,2831,5135,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3983,5391,4367,4623,5903,6159,6415,7695,16399,65535,65535,65535,65535,65535,65535,65535,65535,3087,2831,3087,2447,2255,2575,2831,2575,5007,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3983,5391,4367,4623,5903,6159,6415,7567,16399,65535,65535,65535,65535,65535,65535,65535,65535,3087,2575,3023,2319,2191,2575,2575,2575,4879,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
