pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9
527,768,3855,1231,1167,4111,1743,1551,4623
527,768,3855,1231,1231,4111,1743,1679,4623
527,768,3855,1231,1231,4111,1807,1679,4623
577,772,3855,1285,1231,4111,1807,1679,4623
580,779,3855,1285,1231,4111,1807,1679,4623
581,779,3855,1285,1231,4111,1807,1679,4623
581,779,3855,1291,1231,4111,1807,1679,4623
581,783,3855,1291,1231,4111,1807,1679,4623
580,783,3855,1291,1231,4111,1807,1679,4623
581,779,3855,1285,1231,4111,1807,1679,4623
580,779,3855,1285,1231,4111,1807,1679,4623
577,781,3855,1231,1231,4111,1807,1679,4623
585,779,3855,1231,1231,4111,1807,1679,4623
580,779,3855,1231,1231,4111,1807,1679,4623
581,775,3855,1231,1231,4111,1743,1679,4623
576,772,3855,1231,1231,4111,1743,1679,4623
580,779,3855,1231,1231,4111,1743,1679,4623
587,779,3855,1231,1231,4111,1743,1679,4623
577,773,3855,1231,1167,4111,1743,1679,4623
581,773,3855,1231,1231,4111,1743,1679,4623
585,772,3855,1231,1231,4111,1743,1679,4623
580,772,3855,1231,1167,4111,1743,1679,4623
581,783,3855,1231,1167,4111,1743,1679,4623
581,773,3855,1231,1167,4111,1743,1679,4623
581,772,3855,1231,1167,4111,1743,1551,4623
580,773,3855,1231,1167,4111,1743,1679,4623
581,773,3855,1231,1167,4111,1743,1551,4623
580,773,3855,1231,1167,4111,1743,1551,4623
581,772,3855,1231,1231,4111,1679,1679,4623
581,773,3855,1231,1167,4111,1743,1551,4623
580,772,3855,1231,1167,4111,1743,1679,4623
580,773,3855,1231,1167,4111,1679,1551,4623
527,757,3855,1167,1167,4111,1679,1551,4623
527,719,3855,1167,1167,4111,1679,1551,4623
527,719,3855,1167,1167,4111,1679,1551,4623
527,768,3855,1167,1167,4111,1679,1551,4623
576,768,3855,1231,1167,4111,1679,1551,4623
581,772,3855,1231,1167,4111,1679,1551,4623
581,768,3855,1231,1167,4111,1679,1551,4623
585,769,3855,1231,1167,4111,1679,1551,4623
581,772,3855,1231,1167,4111,1743,1551,4623
581,773,3855,1231,1167,4111,1679,1551,4623
583,768,3855,1231,1167,4111,1743,1679,4623
587,779,3855,1231,1167,4111,1743,1679,4623
587,779,3855,1231,1231,4111,1743,1551,4623
587,779,3855,1231,1167,4111,1743,1679,4623
585,773,3855,1231,1167,4111,1743,1679,4623
589,775,3855,1231,1167,4111,1743,1551,4623
587,772,3855,1231,1167,4111,1743,1679,4623
587,772,3855,1231,1167,4111,1743,1679,4623
589,779,3855,1231,1167,4111,1743,1679,4623
587,779,3855,1231,1231,4111,1743,1679,4623
587,783,3855,1231,1231,4111,1743,1679,4623
591,783,3855,1231,1231,4111,1807,1679,4623
591,783,3855,1285,1231,4111,1807,1679,4623
591,783,3855,1285,1231,4111,1807,1679,4623
591,783,3855,1291,1231,4111,1807,1679,4623
591,783,3855,1285,1231,4111,1807,1679,4623
591,783,3855,1285,1231,4111,1807,1679,4623
591,783,3855,1285,1231,4111,1807,1679,4623
591,783,3855,1231,1231,4111,1807,1679,4623
591,783,3855,1231,1231,4111,1807,1679,4623
591,783,3855,1231,1231,4111,1743,1679,4623
591,783,3855,1231,1231,4111,1807,1679,4623
591,783,3855,1231,1231,4111,1807,1679,4623
591,783,3855,1231,1231,4111,1807,1679,4623
591,783,3855,1231,1167,4111,1807,1679,4623
591,783,3855,1231,1231,4111,1743,1679,4623
591,783,3855,1231,1231,4111,1743,1679,4623
591,783,3855,1231,1231,4111,1743,1679,4623
591,783,3855,1231,1167,4111,1743,1679,4623
591,783,3855,1231,1167,4111,1743,1679,4623
591,783,3855,1231,1167,4111,1743,1679,4623
591,783,3855,1231,1167,4111,1743,1679,4623
591,783,3855,1231,1167,4111,1743,1679,4623
591,783,3855,1231,1167,4111,1743,1679,4623
591,783,3855,1231,1167,4111,1743,1679,4623
591,783,3855,1231,1167,4111,1743,1679,4623
591,779,3855,1231,1167,4111,1743,1679,4623
591,783,3855,1231,1167,4111,1679,1551,4623
591,783,3855,1231,1167,4111,1743,1551,4623
591,783,3855,1231,1167,4111,1743,1679,4623
591,783,3855,1231,1167,4111,1679,1551,4623
587,768,3855,1167,1167,4111,1679,1551,4623
581,768,3855,1167,1167,4111,1679,1551,4623
