pixel1,pixel2,pixel3,pixel4,pixel5
65535,7695,65535,4111,911
65535,7695,65535,4111,971
65535,7695,65535,3983,975
65535,7695,65535,3983,975
65535,7695,65535,3855,975
65535,7695,65535,3855,975
65535,7695,65535,3855,975
65535,7695,65535,3855,975
65535,7695,65535,3855,975
65535,7695,65535,3855,975
65535,7695,65535,3855,975
65535,7695,65535,3855,975
65535,7695,65535,3855,975
65535,7695,65535,3855,975
65535,7695,65535,3855,975
65535,7695,65535,3855,975
65535,7695,65535,3855,975
65535,7695,65535,3855,975
65535,7695,65535,3855,975
65535,7695,65535,3855,975
65535,7695,65535,3791,975
65535,7695,65535,3791,975
65535,7695,65535,3791,975
65535,7695,65535,3791,975
65535,7695,65535,3791,975
65535,7695,65535,3727,975
65535,7695,65535,3599,975
65535,7695,65535,3599,975
65535,7695,65535,3599,975
65535,7695,65535,3599,1028
65535,7695,65535,3599,975
65535,7695,65535,3599,975
65535,7695,65535,3599,975
65535,7695,65535,3599,975
65535,7695,65535,3599,975
65535,7695,65535,3599,975
65535,7695,65535,3599,975
65535,7695,65535,3599,975
65535,7695,65535,3599,975
65535,7695,65535,3599,975
65535,7695,65535,3599,975
65535,7695,65535,3599,975
65535,7695,65535,3599,975
65535,7695,65535,3599,975
65535,7695,65535,3599,975
65535,7695,65535,3599,975
65535,7695,65535,3599,975
65535,7695,65535,3599,975
65535,7695,65535,3599,1024
65535,7695,65535,3599,975
65535,7695,65535,3599,975
65535,7695,65535,3599,1029
65535,7695,65535,3599,975
65535,7695,65535,3599,1024
65535,7695,65535,3599,1028
65535,7695,65535,3599,975
65535,7695,65535,3599,975
65535,7695,65535,3599,975
65535,7695,65535,3599,975
65535,7695,65535,3599,1028
65535,7695,65535,3599,1028
65535,7695,65535,3599,1024
65535,7695,65535,3599,1028
65535,7695,65535,3599,1028
65535,7695,65535,3599,1024
65535,7695,65535,3599,1028
65535,7695,65535,3599,1028
65535,7695,65535,3599,1028
65535,7695,65535,3599,1028
65535,7695,65535,3599,1024
65535,7695,65535,3599,1028
65535,7695,65535,3599,1028
65535,7695,65535,3599,1029
65535,7695,65535,3599,1028
65535,7695,65535,3599,1028
65535,7695,65535,3599,1028
65535,7695,65535,3599,1029
65535,7695,65535,3599,1029
65535,7695,65535,3599,1028
65535,7695,65535,3599,1028
65535,7695,65535,3599,1029
65535,7695,65535,3599,1029
65535,7695,65535,3599,1028
65535,7695,65535,3599,1029
65535,7695,65535,3599,1029
65535,7695,65535,3599,1029
65535,7695,65535,3599,1029
65535,7695,65535,3599,1031
65535,7695,65535,3599,1031
65535,7695,65535,3599,1028
65535,7695,65535,3599,1031
65535,7695,65535,3599,1031
65535,7695,65535,3599,1029
65535,7695,65535,3599,1029
65535,7695,65535,3599,1029
65535,7695,65535,3599,1035
65535,7695,65535,3599,1031
65535,7695,65535,3599,1031
65535,7695,65535,3599,1029
65535,7695,65535,3599,1035
65535,7695,65535,3599,1029
65535,7695,65535,3599,1031
65535,7695,65535,3599,1031
65535,7695,65535,3599,1031
65535,7695,65535,3599,1031
65535,7695,65535,3599,1029
65535,7695,65535,3599,1028
65535,7695,65535,3599,1035
65535,7695,65535,3599,1035
65535,7695,65535,3599,1037
65535,7695,65535,3599,1031
65535,7695,65535,3599,1031
65535,7695,65535,3599,1035
65535,7695,65535,3599,1031
65535,7695,65535,3599,1035
65535,7695,65535,3599,1035
65535,7695,65535,3599,1031
65535,7695,65535,3599,1035
65535,7695,65535,3599,1035
65535,7695,65535,3599,1035
65535,7695,65535,3599,1035
65535,7695,65535,3599,1035
65535,7695,65535,3599,1035
65535,7695,65535,3599,1031
65535,7695,65535,3599,1035
65535,7695,65535,3855,1024
65535,7695,65535,3791,1024
65535,7695,65535,3599,975
65535,7695,65535,3599,975
65535,7695,65535,3599,1028
65535,7695,65535,3599,1029
65535,7695,65535,3599,1028
65535,7695,65535,3599,1029
65535,7695,65535,3599,1029
65535,7695,65535,3599,1035
65535,7695,65535,3599,1029
65535,7695,65535,3599,1029
65535,7695,65535,3599,1029
65535,7695,65535,3599,1031
65535,7695,65535,3599,1035
65535,7695,65535,3599,1035
65535,7695,65535,3599,1029
65535,7695,65535,3599,1031
65535,7695,65535,3599,1035
65535,7695,65535,3599,1035
65535,7695,65535,3599,1039
65535,7695,65535,3599,1035
65535,7695,65535,3599,1035
65535,7695,65535,3599,1035
65535,7695,65535,3599,1039
65535,7695,65535,3599,1035
65535,7695,65535,3599,1035
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1035
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1035
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
65535,7695,65535,3599,1039
