pixel1,pixel2,pixel3,pixel4,pixel5
3343,3983,5391,4367,4623,5903,6159,6415,7567,16399,65535,65535,65535,65535,65535,65535,65535,65535,5647,4879,6159,4879,4367,5647,5647,5391,9743,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3983,5391,4367,4623,5903,6159,6415,7567,16399,65535,65535,65535,65535,65535,65535,65535,65535,5647,4879,6159,4879,4111,5391,5647,5135,9487,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3983,5391,4367,4623,5903,6159,6415,7567,16399,65535,65535,65535,65535,65535,65535,65535,65535,5647,4623,5903,4623,4111,5135,5519,5135,9231,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3983,5391,4367,4623,5903,6159,6415,7695,16399,65535,65535,65535,65535,65535,65535,65535,65535,5519,4623,5647,4623,3983,5135,5135,4879,8975,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3983,5391,4367,4623,5903,6159,6415,7695,16399,65535,65535,65535,65535,65535,65535,65535,65535,5391,4623,5647,4367,3855,4879,5135,4623,8719,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3983,5391,4367,4879,5903,6159,6415,7695,16399,65535,65535,65535,65535,65535,65535,65535,65535,5135,4367,5391,4111,3791,4623,4879,4495,8207,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3343,3983,5391,4367,4879,5903,6159,6415,7695,16399,65535,65535,65535,65535,65535,65535,65535,65535,5135,4367,5135,4111,3599,4495,4623,4367,8207,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,3983,5391,4367,4879,5903,6159,6415,7695,16399,65535,65535,65535,65535,65535,65535,65535,65535,4879,4111,5007,3855,3471,4367,4367,4111,7695,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,3983,5391,4367,4879,6031,6159,6415,7695,16399,65535,65535,65535,65535,65535,65535,65535,65535,4623,3983,4623,3599,3343,4111,4111,3983,7439,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,3983,5391,4367,4879,6031,6159,6543,7695,16399,65535,65535,65535,65535,65535,65535,65535,65535,4495,3855,4623,3535,3087,3855,3983,3855,7183,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
