pixel1,pixel2,pixel3,pixel4,pixel5
8207,65535,6159,2831,783
8207,65535,6159,2703,783
8207,65535,6159,2575,783
8207,65535,6159,2575,779
8207,65535,6159,2575,768
8719,65535,6031,2575,719
8719,65535,6159,2575,719
8719,65535,6159,2575,719
8719,65535,6159,2575,719
8719,65535,6159,2575,719
8719,65535,6159,2575,714
8719,65535,6159,2575,714
8719,65535,6159,2511,714
8719,65535,6159,2511,715
8719,65535,6159,2511,708
8719,65535,6159,2511,708
8719,65535,6159,2511,704
8719,65535,5903,2511,704
8719,65535,6159,2511,704
8719,65535,5903,2447,704
8975,65535,6159,2447,704
8975,65535,5903,2447,708
8975,65535,6031,2447,704
8975,65535,5903,2447,704
9231,65535,6031,2447,704
9231,65535,5903,2447,704
9231,65535,6031,2447,655
9231,65535,6159,2447,655
9231,65535,6159,2447,655
9231,65535,6159,2447,655
9231,65535,6031,2447,655
9231,65535,6159,2447,655
9231,65535,6031,2447,655
9231,65535,6159,2511,655
9231,65535,6159,2447,655
9231,65535,6159,2447,655
9231,65535,6159,2447,655
9231,65535,6159,2447,655
9231,65535,6159,2447,655
9231,65535,6159,2447,655
9231,65535,6159,2447,655
9231,65535,6031,2447,655
9231,65535,6159,2447,655
9231,65535,5903,2447,655
9487,65535,6159,2447,655
9487,65535,6159,2447,655
9487,65535,6159,2447,655
9487,65535,6159,2447,655
9487,65535,6159,2447,655
9743,65535,6159,2447,655
9743,65535,6159,2447,655
9743,65535,6159,2447,655
9231,65535,6159,2447,655
9231,65535,6159,2447,655
9231,65535,6159,2447,655
9231,65535,6159,2447,655
9231,65535,6159,2447,655
9231,65535,6159,2447,655
9487,65535,5903,2447,655
9743,65535,6159,2447,655
9743,65535,6159,2447,655
9743,65535,6159,2447,655
9743,65535,6159,2447,655
9743,65535,6159,2447,655
9743,65535,6159,2447,655
9743,65535,6159,2447,655
9743,65535,6159,2447,655
9743,65535,6159,2447,655
9743,65535,6159,2447,655
9743,65535,6159,2447,655
9743,65535,6159,2447,655
9743,65535,6159,2447,655
9743,65535,6159,2447,655
9999,65535,6159,2447,655
9999,65535,5903,2447,655
9743,65535,6159,2447,655
9743,65535,6159,2447,655
9231,65535,6159,2447,655
9231,65535,6159,2447,655
9231,65535,6159,2447,655
9231,65535,6159,2447,655
9231,65535,6159,2447,655
9231,65535,6159,2447,655
9231,65535,6159,2447,655
9487,65535,6159,2447,655
9743,65535,6159,2447,655
9743,65535,6159,2447,655
9743,65535,6159,2447,655
9743,65535,6159,2447,655
9743,65535,6159,2447,655
8719,65535,6159,2447,655
8719,65535,6159,2511,655
8719,65535,6159,2447,655
8719,65535,6159,2447,655
8719,65535,6159,2447,655
8719,65535,6159,2447,655
8719,65535,6159,2447,655
8719,65535,6159,2447,655
8463,65535,6159,2447,655
8463,65535,6159,2447,655
8207,65535,6031,2447,655
8207,65535,6159,2447,655
