pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9
591,591,613,613,591,591,591,591,591
591,591,591,591,591,591,591,591,591
591,591,591,591,591,591,591,613,591
613,591,591,615,591,591,591,591,613
613,613,613,591,591,591,591,591,591
591,591,591,591,591,591,591,613,613
591,613,615,591,591,615,591,591,591
591,591,613,591,615,614,614,591,591
591,613,591,591,591,591,591,591,591
613,591,591,591,591,591,591,591,591
591,591,591,591,591,613,591,615,591
615,591,591,591,591,591,591,591,591
613,591,591,591,615,591,591,591,591
591,591,591,591,591,613,591,591,613
614,591,591,613,591,591,591,591,591
591,591,591,591,591,591,591,591,591
613,613,591,591,613,613,591,591,591
591,591,591,591,613,591,591,591,591
591,591,613,591,591,591,591,591,613
591,591,591,591,591,591,591,613,614
591,613,591,591,591,591,591,591,615
591,591,591,613,591,591,615,591,591
613,591,591,591,591,591,591,591,615
613,591,591,591,591,591,591,613,591
591,613,613,613,591,613,591,615,591
591,591,591,591,591,591,591,591,591
591,591,591,591,613,591,591,591,591
591,591,591,591,591,591,591,591,591
591,591,613,591,613,613,591,591,615
591,591,591,591,613,615,613,613,591
591,591,591,591,591,613,591,591,613
591,591,591,591,591,591,591,591,591
591,591,591,591,613,591,615,591,591
591,591,591,591,613,591,591,591,591
591,591,591,591,591,613,591,591,591
591,613,591,591,591,591,591,591,591
591,591,591,591,613,591,591,613,591
591,591,591,591,615,591,591,591,591
591,591,591,591,615,591,591,591,591
591,591,591,614,591,591,613,591,591
591,613,591,591,591,591,591,591,591
591,591,591,613,591,591,591,613,613
591,614,591,613,591,615,591,614,591
614,591,591,591,591,591,591,613,591
591,591,591,591,591,591,615,591,591
591,613,591,591,591,591,591,591,591
591,591,591,591,591,591,615,591,591
591,591,613,591,613,591,591,591,591
591,591,591,591,591,591,591,613,591
591,591,591,591,591,591,613,591,591
591,613,591,591,591,591,591,591,591
591,591,591,591,591,591,591,591,591
591,591,591,615,591,615,613,591,591
591,591,591,591,591,591,615,591,591
591,591,591,591,591,591,591,591,591
591,591,591,591,591,591,615,613,591
591,614,591,591,591,591,591,591,591
591,615,591,591,591,591,591,591,591
591,591,591,591,591,591,591,591,591
591,591,591,591,591,613,613,591,613
615,591,591,614,613,591,613,591,613
591,591,591,613,591,591,613,591,591
591,613,591,591,591,615,591,591,591
591,591,591,615,591,591,613,591,591
591,591,591,591,591,591,591,591,591
591,591,591,591,591,591,591,591,591
591,591,591,591,591,591,591,591,591
591,591,591,613,591,591,591,591,591
591,591,591,591,591,591,591,591,591
591,591,591,591,591,591,591,591,613
591,591,591,591,591,591,591,591,613
591,591,591,613,591,591,615,591,591
591,591,591,591,615,591,591,591,613
591,591,591,591,591,591,613,591,613
591,591,591,591,591,591,591,591,614
591,591,591,613,591,591,591,591,591
591,591,614,591,591,591,615,613,591
615,591,613,591,614,591,591,613,591
591,591,591,591,615,591,591,591,591
591,591,591,591,591,591,591,591,591
591,591,591,591,591,591,614,591,591
591,591,591,591,591,591,613,591,591
591,591,591,591,613,591,591,591,591
591,591,591,591,613,591,613,591,591
591,591,591,591,591,591,613,615,591
591,591,591,591,591,591,591,591,591
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
65535,65535,65535,65535,65535,65535,65535,65535,65535
