pixel1,pixel2,pixel3,pixel4,pixel5
1157,9231,1295,6159,2063
1157,9231,1295,5903,2063
1163,9231,1295,5903,2063
1157,9231,1295,5647,2063
1157,9231,1295,5647,2063
1157,9231,1295,5647,2063
1163,9231,1295,5647,2063
1156,9231,1295,5647,1999
1163,9231,1295,5647,1999
1163,9231,1295,5647,1935
1163,9231,1285,5647,1935
1157,9231,1293,5647,1935
1163,9231,1291,5647,1935
1163,9231,1285,5647,1935
1163,9231,1285,5647,1935
1163,9231,1285,5647,1935
1163,9231,1284,5647,1935
1163,9231,1291,5647,1935
1163,9231,1231,5647,1935
1165,9231,1231,5647,1935
1163,9231,1231,5647,1935
1163,9231,1231,5647,1935
1163,9231,1231,5647,1935
1163,9231,1231,5647,1871
1167,9231,1231,5647,1871
1163,9231,1231,5647,1807
1163,9231,1231,5647,1807
1163,9231,1231,5647,1807
1163,9231,1231,5647,1807
1163,9231,1231,5647,1807
1163,9231,1231,5647,1807
1163,9231,1231,5647,1807
1167,9231,1231,5647,1807
1163,9231,1231,5647,1807
1163,9231,1231,5647,1807
1165,9231,1231,5647,1807
1163,9231,1231,5647,1807
1167,9231,1231,5647,1807
1165,9231,1231,5647,1807
1163,9231,1231,5647,1807
1167,9231,1231,5647,1807
1165,9231,1231,5647,1807
1163,9231,1231,5647,1807
1163,9231,1231,5647,1807
1163,9231,1231,5647,1807
1163,9231,1231,5647,1807
1165,9231,1231,5647,1807
1163,9231,1231,5647,1807
1163,9231,1231,5647,1807
1163,9231,1231,5647,1807
1163,9231,1167,5647,1807
1163,9231,1167,5647,1807
1167,9231,1167,5647,1807
1165,9231,1231,5647,1807
1167,9231,1167,5647,1807
1163,9231,1231,5647,1807
1167,9231,1167,5647,1807
1163,9231,1167,5647,1807
1167,9231,1167,5647,1807
1167,9231,1167,5647,1807
1165,9231,1231,5647,1807
1167,9231,1231,5647,1807
1163,9231,1231,5647,1807
1163,9231,1167,5647,1807
1165,9231,1231,5647,1807
1167,9231,1231,5647,1807
1163,9231,1231,5647,1807
1163,9231,1231,5647,1807
1167,9231,1231,5647,1807
1165,9231,1231,5647,1807
