pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9
591,386,457,655,399,448,783,527,463
591,389,463,655,399,449,783,527,488
591,389,463,655,424,453,783,527,463
591,391,463,655,399,453,783,527,488
589,384,461,655,399,448,783,527,488
587,384,463,655,424,448,783,527,488
591,389,463,655,399,452,783,527,488
591,389,463,655,399,448,783,527,488
587,385,463,655,399,453,783,527,463
587,384,461,655,399,452,783,527,488
591,394,463,655,424,457,783,527,488
591,384,463,655,424,453,783,527,488
591,389,463,655,424,452,783,527,488
591,389,463,655,399,449,783,527,488
591,393,459,655,399,448,783,527,463
587,389,463,655,399,452,783,527,488
591,389,463,655,399,452,783,527,463
591,388,459,655,399,452,783,527,488
591,389,461,655,399,448,783,527,488
591,389,461,655,399,449,783,527,488
591,384,457,655,399,449,783,527,488
591,388,463,655,399,448,783,527,463
591,386,463,655,399,449,783,527,463
591,388,461,655,399,448,783,527,463
580,384,461,655,399,448,783,527,463
589,388,463,655,399,452,783,527,488
591,389,459,655,399,453,783,527,463
591,384,463,655,399,452,783,527,463
587,386,463,655,424,452,783,527,488
591,384,463,655,399,448,783,527,488
589,388,463,655,399,448,783,527,463
591,389,463,655,425,452,783,527,488
591,388,463,655,424,453,783,527,489
589,384,463,655,399,452,783,527,488
591,388,463,655,399,448,783,527,488
591,389,463,655,399,452,783,527,488
591,388,463,655,424,452,783,527,463
591,389,463,655,399,452,783,527,488
591,385,463,655,424,452,783,527,488
587,388,461,655,399,452,783,527,488
591,389,463,655,399,453,783,527,488
591,388,459,655,399,448,783,527,463
589,386,463,655,399,449,783,527,488
587,384,459,655,399,448,783,527,463
591,389,461,655,399,448,783,527,463
587,384,463,655,399,448,783,527,463
587,385,461,655,399,448,783,527,463
591,389,459,655,399,457,783,527,463
589,384,459,655,399,448,783,527,463
581,384,463,655,424,448,783,527,463
587,388,463,655,399,448,783,527,463
587,388,459,655,399,448,783,527,463
589,384,461,655,399,448,783,527,488
587,388,463,655,399,448,783,527,463
587,385,463,655,399,448,783,527,463
591,384,463,655,399,448,783,527,463
591,388,463,655,399,448,783,527,463
587,388,463,655,399,452,783,527,463
591,389,463,655,399,448,783,527,463
589,389,459,655,399,456,783,527,463
591,393,463,655,424,452,783,527,489
591,385,463,655,399,452,783,527,488
591,389,463,655,399,452,783,527,463
586,384,463,655,399,448,783,527,488
587,389,463,655,399,452,783,527,488
589,385,463,655,399,448,783,527,463
589,384,461,655,424,449,783,527,488
585,385,461,655,399,449,783,527,463
591,385,463,655,399,449,783,527,488
591,384,461,655,399,448,783,527,488
591,389,463,655,399,452,783,527,463
585,393,463,655,399,448,783,527,463
591,384,461,655,424,452,783,527,463
591,386,463,655,399,449,783,527,463
591,389,461,655,399,448,783,527,463
581,384,463,655,399,448,783,527,463
586,384,459,655,399,448,783,527,463
586,385,459,655,399,448,783,527,463
591,384,463,655,399,448,783,527,463
587,384,463,655,399,440,783,527,463
581,384,459,655,399,448,783,527,463
589,384,453,655,399,448,783,527,463
586,388,463,655,399,448,783,527,463
581,388,463,655,399,448,783,527,463
581,385,463,655,399,448,783,527,463
580,384,461,655,399,448,783,527,463
591,385,463,655,399,448,783,527,463
587,384,461,655,399,448,783,527,463
581,384,463,655,399,448,783,527,463
589,384,463,655,399,448,783,527,463
589,384,463,655,399,440,783,527,463
589,388,463,655,399,448,783,527,463
589,384,459,655,399,448,783,527,463
585,385,463,655,399,448,783,527,463
587,385,463,655,399,448,783,527,463
591,386,463,655,424,449,783,527,488
585,385,457,655,399,448,783,527,463
587,384,463,655,399,448,783,527,488
587,384,463,655,399,448,783,527,463
587,389,463,655,399,449,783,527,463
587,384,463,655,399,448,783,527,463
586,384,463,655,399,448,783,527,463
589,384,463,655,399,448,783,527,463
591,386,463,655,399,452,783,527,463
589,384,463,655,399,449,783,527,488
585,386,461,655,399,448,783,527,463
580,384,459,655,399,448,783,527,463
586,384,463,655,399,448,783,527,463
581,384,459,655,399,440,783,527,463
576,384,457,655,399,448,783,527,463
581,384,457,655,399,448,783,527,463
581,385,463,655,399,448,783,527,463
580,384,461,655,399,448,783,527,463
583,388,453,653,399,448,783,527,463
581,385,461,655,399,448,783,527,463
587,384,463,655,399,448,783,527,463
587,384,461,655,399,448,783,527,463
587,384,463,655,399,448,783,527,463
587,388,463,655,399,449,783,527,463
587,384,463,655,399,449,783,527,463
587,389,463,655,399,452,783,527,463
587,384,463,655,399,448,783,527,463
