pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9
591,591,591,19983,19983,19983,591,591,591
591,591,591,19983,19983,18959,591,591,591
591,591,591,19471,18959,19471,591,591,591
591,591,591,19983,19983,19471,591,591,591
591,591,591,19471,19983,19983,591,591,591
591,591,591,19983,19983,19983,591,591,591
591,591,591,19983,19983,19983,591,591,591
591,591,591,19983,19983,19983,591,591,591
591,591,591,19983,19983,19983,591,591,591
591,591,591,19983,19983,19983,591,591,591
591,591,591,18959,19471,19471,591,591,591
591,591,591,19471,19471,19471,591,591,591
591,591,591,18959,19471,19471,591,591,591
591,591,591,19983,19983,19983,591,591,591
591,591,591,19471,19471,19983,591,591,591
591,591,591,19983,19983,19983,591,591,591
591,591,591,19983,19983,19983,591,591,591
591,591,591,19983,19983,19983,591,591,591
591,591,591,19983,19983,19471,591,591,591
591,591,591,18959,18959,19471,591,591,591
591,591,591,19983,19471,19471,591,591,591
591,591,591,19983,19983,18959,591,591,591
591,591,591,19471,19471,19471,591,591,591
591,591,591,19471,19471,18959,591,591,591
591,591,591,19983,19983,19983,591,591,591
591,591,591,19471,19471,19471,591,591,591
591,591,591,19471,19983,19983,591,591,591
591,591,591,19471,18959,18959,591,591,591
591,591,591,17935,13327,11279,591,591,591
591,591,591,13327,12303,12303,591,591,591
591,591,591,15887,14351,9231,591,591,591
591,591,591,15887,12303,13327,591,591,591
591,591,591,11279,6671,9231,591,591,591
591,591,591,11279,10767,12303,591,591,591
591,591,591,12303,13327,13327,591,591,591
591,591,591,11791,10767,11279,591,591,591
591,591,591,9743,10255,11279,591,591,591
591,591,591,12303,12303,12047,591,591,591
591,591,591,14095,12815,12815,591,591,591
591,591,591,10767,9999,11279,591,591,591
591,591,591,12815,13071,12303,591,591,591
591,591,591,12303,11791,12303,591,591,591
591,591,591,11791,12303,12303,591,591,591
591,591,591,11791,10767,10767,591,591,591
591,591,591,11279,10767,11535,591,591,591
591,591,591,11279,11791,12303,591,591,591
591,591,591,12303,13327,12303,591,591,591
591,591,591,12815,11791,11791,591,591,591
591,591,591,11791,11791,11279,591,591,591
591,591,591,11279,11023,11023,591,591,591
591,591,591,11279,11279,11279,591,591,591
591,591,591,11279,11279,11279,591,591,591
591,591,591,11279,11279,11279,591,591,591
591,591,591,11279,11279,11279,591,591,591
591,591,591,11279,11279,11279,591,591,591
591,591,591,11535,11279,11279,591,591,591
591,591,591,9743,9743,9999,591,591,591
591,591,591,9743,9743,9743,591,591,591
591,591,591,10767,10511,10255,591,591,591
591,591,591,10511,10255,10511,591,591,591
591,591,591,10255,10767,10255,591,591,591
591,591,591,10255,10255,10255,591,591,591
591,591,591,10255,10767,10255,591,591,591
591,591,591,10255,10255,10255,591,591,591
591,591,591,10255,10255,10255,591,591,591
591,591,591,9743,10511,10767,591,591,591
591,591,591,11023,11791,12303,591,591,591
591,591,591,11791,11279,11791,591,591,591
591,591,591,11791,12815,11535,591,591,591
591,591,591,11279,12047,12303,591,591,591
591,591,591,10767,11791,12815,591,591,591
591,591,591,12815,11279,11279,591,591,591
591,591,591,12303,12815,12815,591,591,591
591,591,591,12815,12815,13327,591,591,591
591,591,591,13327,13839,12303,591,591,591
591,591,591,12047,12303,12047,591,591,591
591,591,591,12815,12815,12815,591,591,591
591,591,591,10767,10767,11279,591,591,591
591,591,591,11791,11279,11791,591,591,591
591,591,591,12047,11535,11279,591,591,591
591,591,591,11279,10767,10767,591,591,591
591,591,591,11279,10767,10767,591,591,591
591,591,591,10767,11279,11279,591,591,591
591,591,591,11279,11279,11791,591,591,591
591,591,591,11791,11791,11791,591,591,591
591,591,591,11791,11791,11279,591,591,591
591,591,591,11791,11279,11279,591,591,591
591,591,591,12303,12815,12303,591,591,591
591,591,591,12303,12815,13327,591,591,591
591,591,591,12303,12303,12303,591,591,591
591,591,591,12303,12815,12303,591,591,591
591,591,591,12815,12815,12303,591,591,591
591,591,591,12815,12815,12815,591,591,591
591,591,591,12815,13327,11791,591,591,591
591,591,591,11023,10767,10767,591,591,591
591,591,591,11791,11791,11279,591,591,591
591,591,591,10511,11791,11791,591,591,591
591,591,591,11791,11279,8719,591,591,591
591,591,591,10767,7695,8079,591,591,591
591,591,591,10255,9999,10255,591,591,591
591,591,591,10767,10767,10255,591,591,591
591,591,591,10511,11279,9743,591,591,591
591,591,591,11279,11279,9231,591,591,591
591,591,591,12303,12303,11279,591,591,591
591,591,591,11535,11279,11535,591,591,591
591,591,591,11279,11279,10767,591,591,591
591,591,591,9487,9743,9231,591,591,591
591,591,591,9487,6927,8207,591,591,591
591,591,591,11791,6159,5007,591,591,591
591,591,591,4111,5135,4879,591,591,591
591,591,591,4111,4111,4111,591,591,591
591,591,591,12303,6927,12815,591,591,591
591,591,591,8975,5903,5135,591,591,591
591,591,591,11791,11791,2447,591,591,591
591,591,591,11279,12303,11791,591,591,591
591,591,591,5391,5135,4367,591,591,591
591,591,591,12815,12815,12815,591,591,591
591,591,591,3087,3087,2255,591,591,591
591,591,591,3087,3087,3471,591,591,591
591,591,591,2831,2767,2767,591,591,591
591,591,591,2575,2575,2831,591,591,591
591,591,591,5135,5903,5647,591,591,591
591,591,591,3087,3343,2447,591,591,591
591,591,591,4367,5519,5135,591,591,591
591,591,591,2831,3087,3087,591,591,591
591,591,591,3087,3471,3471,591,591,591
591,591,591,3343,3343,3343,591,591,591
591,591,591,3343,3343,3471,591,591,591
591,591,591,3471,3087,3343,591,591,591
591,591,591,2831,2831,2575,591,591,591
591,591,591,3343,2767,2703,591,591,591
591,591,591,3535,3535,3343,591,591,591
591,591,591,6159,3535,3471,591,591,591
591,591,591,4111,3343,3343,591,591,591
591,591,591,2767,4111,2575,591,591,591
591,591,591,2575,2767,2575,591,591,591
591,591,591,2575,3343,3087,591,591,591
591,591,591,3087,2831,2511,591,591,591
591,591,591,3599,3343,2959,591,591,591
591,591,591,2959,2959,2959,591,591,591
591,591,591,4495,3855,3855,591,591,591
591,591,591,3471,3791,3599,591,591,591
591,591,591,2831,2575,2575,591,591,591
591,591,591,4111,4111,2575,591,591,591
591,591,591,4367,4111,4367,591,591,591
591,591,591,4495,4495,4367,591,591,591
591,591,591,4367,4111,4111,591,591,591
591,591,591,3855,4367,4367,591,591,591
591,591,591,4111,4111,4111,591,591,591
591,591,591,4111,4111,3855,591,591,591
591,591,591,4111,3855,4367,591,591,591
591,591,591,4111,3599,4111,591,591,591
591,591,591,12303,12303,11279,591,591,591
591,591,591,11791,12303,10767,591,591,591
591,591,591,13327,12047,12303,591,591,591
591,591,591,12303,12815,12815,591,591,591
591,591,591,12303,12303,12303,591,591,591
591,591,591,12303,12303,12303,591,591,591
591,591,591,11791,12047,11279,591,591,591
591,591,591,12815,8975,9231,591,591,591
591,591,591,10255,10255,8719,591,591,591
591,591,591,11279,12047,12303,591,591,591
591,591,591,11791,9231,11791,591,591,591
591,591,591,12047,12303,11023,591,591,591
591,591,591,11791,11791,8975,591,591,591
591,591,591,8079,8207,6671,591,591,591
591,591,591,8207,8719,8719,591,591,591
591,591,591,11791,10255,10255,591,591,591
591,591,591,7567,9743,7183,591,591,591
591,591,591,10511,7439,5647,591,591,591
591,591,591,11279,5647,5647,591,591,591
591,591,591,5903,5903,5647,591,591,591
591,591,591,6159,6159,6671,591,591,591
591,591,591,10767,8207,6415,591,591,591
591,591,591,8975,10255,10767,591,591,591
591,591,591,10767,10639,10511,591,591,591
591,591,591,11279,9743,8207,591,591,591
591,591,591,11791,10767,10767,591,591,591
591,591,591,10767,11279,10767,591,591,591
591,591,591,6927,5391,7183,591,591,591
591,591,591,7695,6671,6159,591,591,591
591,591,591,10767,10767,11279,591,591,591
591,591,591,10767,7183,8207,591,591,591
591,591,591,10255,9231,10255,591,591,591
591,591,591,10767,10255,9743,591,591,591
591,591,591,10767,9231,10255,591,591,591
591,591,591,10511,9743,10255,591,591,591
591,591,591,10255,8719,10255,591,591,591
591,591,591,7695,8207,8207,591,591,591
591,591,591,9743,8207,7695,591,591,591
591,591,591,10255,8975,8719,591,591,591
591,591,591,9231,9231,9231,591,591,591
591,591,591,9231,9231,5647,591,591,591
591,591,591,1231,1295,1285,591,591,591
26127,21007,39439,24079,19983,39439,24079,19471,39439
26639,21007,39439,24591,19983,39439,24591,19983,39439
26639,21519,39439,24591,19983,39439,24591,19983,39439
26639,21519,39439,24591,19983,39439,25103,19983,39439
26639,21519,39951,24591,20495,40463,25103,19983,39951
26639,21519,39439,33295,23567,46607,591,591,591
591,591,591,9743,10255,11279,591,591,591
591,591,591,9231,7183,13327,591,591,591
591,591,591,8207,8207,7695,591,591,591
591,591,591,3087,4879,4623,591,591,591
591,591,591,7183,7183,7951,591,591,591
591,591,591,8079,5647,6031,591,591,591
591,591,591,13327,12047,9743,591,591,591
591,591,591,10767,10511,10767,591,591,591
591,591,591,18447,13583,13327,591,591,591
591,591,591,8719,7183,6031,591,591,591
591,591,591,7695,8079,8975,591,591,591
591,591,591,7695,9743,5007,591,591,591
591,591,591,6671,5135,5135,591,591,591
591,591,591,4623,3983,6415,591,591,591
591,591,591,7951,8719,7183,591,591,591
591,591,591,4623,8719,9231,591,591,591
591,591,591,9743,10767,10767,591,591,591
591,591,591,4879,9487,4879,591,591,591
591,591,591,4879,5391,4623,591,591,591
591,591,591,7695,7695,7695,591,591,591
