pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9
2191,1935,2063,1551,1287,1487,1807,1507,3087
2255,1956,2191,1551,1295,1551,1913,1551,3087
2319,2063,2233,1679,1295,1551,1935,1551,3087
2447,2063,2319,1743,1295,1551,2063,1551,3343
2532,2148,2361,1807,1423,1679,2063,1679,3343
2575,2255,2447,1807,1423,1679,2063,1679,3471
2575,2319,2575,1849,1423,1807,2063,1743,3599
2660,2319,2575,1935,1487,1807,2191,1807,3599
2831,2447,2575,1935,1551,1807,2255,1807,3599
2831,2447,2575,2063,1551,1807,2319,1807,3599
2831,2511,2767,2063,1551,1871,2319,1807,3855
2831,2575,2831,2063,1551,1935,2319,1828,3855
2959,2575,2831,2063,1551,1935,2319,1935,3855
2959,2575,2831,2063,1551,1935,2447,1935,3855
2980,2575,2831,2063,1551,1999,2447,1935,3855
3087,2575,2831,2063,1551,2020,2447,1935,3983
3087,2575,2959,2063,1636,2063,2447,1935,3983
3087,2575,2959,2063,1679,2063,2489,1935,3983
3087,2575,2959,2191,1679,2063,2511,1999,4025
3087,2575,2959,2191,1679,2063,2511,2020,4111
3087,2575,2980,2191,1679,2063,2553,2063,4111
3087,2617,3023,2191,1679,2063,2575,2063,4111
3087,2660,3087,2191,1679,2063,2575,2063,4111
3087,2703,3087,2191,1679,2063,2575,2063,4111
3087,2703,3087,2191,1679,2063,2575,2063,4111
3087,2703,3087,2212,1679,2063,2575,2063,4111
3087,2703,3087,2212,1679,2063,2575,2063,4111
3087,2703,3087,2212,1679,2063,2575,2063,4111
3087,2703,3087,2255,1679,2063,2575,2063,4111
3087,2703,3087,2255,1679,2063,2575,2063,4111
3087,2703,3087,2233,1679,2063,2575,2063,4111
3087,2703,3087,2255,1679,2063,2575,2063,4111
3087,2703,3087,2255,1679,2063,2575,2063,4111
3087,2703,3087,2233,1679,2063,2575,2063,4111
3087,2703,3087,2233,1679,2063,2575,2063,4111
3087,2703,3087,2233,1679,2063,2575,2063,4111
3087,2703,3087,2191,1679,2063,2575,2063,4111
3087,2703,3087,2212,1679,2063,2575,2063,4111
3087,2703,3044,2191,1679,2063,2575,2063,4111
3087,2617,3023,2191,1679,2063,2575,2063,4111
3087,2575,3023,2191,1679,2063,2575,2063,4111
3087,2575,3001,2191,1679,2063,2575,2063,4111
3087,2575,2980,2191,1679,2063,2575,2063,4111
3087,2575,2959,2191,1679,2063,2575,2041,4111
3087,2575,2959,2191,1679,2063,2575,2041,4111
3087,2575,2959,2191,1679,2063,2575,2063,4111
3087,2575,2959,2191,1679,2063,2575,2020,4111
3087,2575,2959,2191,1679,2063,2575,2041,4111
3087,2575,2959,2191,1679,2063,2575,2020,4111
3087,2575,2959,2191,1679,2063,2575,1999,4111
3044,2575,2959,2191,1679,2063,2575,1999,4111
3044,2575,2959,2191,1679,2063,2575,1999,4111
2980,2575,2959,2191,1679,2063,2575,1956,4111
2980,2575,2959,2191,1679,2063,2575,1977,4111
2959,2575,2959,2191,1679,2063,2575,1999,4111
2959,2575,2959,2191,1679,2063,2575,1935,4111
2959,2575,2959,2191,1679,2063,2575,1935,4068
2959,2575,2959,2191,1679,2063,2575,1956,4111
2959,2575,2959,2191,1679,2063,2575,1935,4089
2959,2575,2959,2191,1679,2063,2575,1935,3983
2959,2575,2873,2191,1679,2063,2532,1935,4004
2959,2575,2873,2191,1679,2063,2553,1935,3983
2959,2575,2873,2191,1679,2063,2532,1935,3983
2959,2575,2831,2191,1679,2063,2511,1935,3983
2959,2575,2831,2191,1679,2063,2511,1935,3983
2959,2575,2873,2148,1679,2063,2511,1935,3983
2959,2575,2831,2191,1679,2063,2511,1935,3983
2916,2575,2831,2105,1679,2063,2511,1935,3983
2959,2575,2831,2105,1679,2063,2511,1935,3983
2873,2575,2831,2063,1679,2063,2511,1935,3983
2831,2575,2831,2063,1679,2063,2511,1935,3983
2831,2575,2831,2063,1679,2063,2511,1935,3983
2831,2575,2831,2063,1679,2063,2511,1935,3983
2831,2575,2831,2063,1679,2063,2511,1935,3983
2831,2575,2831,2063,1679,2063,2511,1935,3983
2831,2575,2831,2063,1679,2063,2511,1935,3983
2831,2575,2831,2063,1679,2063,2511,1935,3983
2831,2575,2831,2063,1679,2063,2511,1935,3983
2831,2575,2831,2063,1679,2063,2511,1935,3983
2831,2575,2831,2063,1679,2063,2511,1935,3983
2831,2575,2831,2063,1679,2063,2511,1935,3983
2831,2575,2831,2063,1679,2063,2511,1935,3983
2831,2575,2831,2063,1679,2063,2511,1935,3983
2831,2575,2831,2063,1679,2063,2489,1935,3983
2831,2575,2831,2063,1679,2063,2511,1935,3983
2831,2575,2831,2063,1679,2063,2511,1935,3983
2831,2575,2831,2063,1679,2063,2489,1935,3983
2831,2575,2831,2063,1679,2063,2489,1935,3983
2831,2575,2831,2063,1679,2063,2511,1935,3983
2831,2575,2831,2063,1679,2063,2489,1935,3983
2831,2575,2831,2063,1679,2063,2511,1935,3983
2831,2575,2831,2063,1679,2063,2468,1935,3983
2831,2575,2831,2063,1679,2063,2489,1935,3983
2831,2575,2831,2063,1679,2063,2447,1935,3983
2831,2575,2831,2063,1679,2063,2447,1935,3983
2831,2575,2831,2063,1679,2063,2511,1935,3983
2831,2575,2831,2063,1679,2063,2489,1935,3983
2831,2575,2831,2063,1679,2063,2511,1935,3983
2831,2575,2831,2063,1679,2063,2468,1935,3983
2831,2575,2831,2063,1679,2063,2511,1935,3983
2831,2575,2831,2063,1679,2063,2489,1935,3983
2831,2575,2831,2063,1679,2063,2489,1935,3983
2831,2575,2831,2063,1636,2063,2468,1935,3983
2831,2575,2831,2063,1679,2063,2489,1935,3983
2831,2575,2831,2063,1679,2063,2447,1935,3983
2831,2575,2831,2063,1551,1999,2447,1935,3855
2831,2511,2831,2063,1551,1935,2447,1935,3855
2788,2468,2767,2063,1551,1935,2319,1807,3855
2724,2447,2703,2063,1551,1935,2319,1807,3855
2724,2447,2575,2063,1551,1935,2319,1807,3855
2703,2447,2575,2063,1551,1935,2319,1807,3833
2703,2447,2575,2063,1551,1935,2319,1807,3855
2724,2447,2575,2063,1551,1935,2319,1807,3855
2767,2447,2617,2063,1551,1935,2319,1807,3855
2831,2447,2703,2063,1551,1935,2319,1807,3855
2831,2447,2724,2063,1551,1935,2319,1807,3855
2831,2511,2788,2063,1551,1935,2319,1828,3855
2831,2511,2831,2063,1551,1935,2319,1913,3855
2831,2575,2831,2063,1551,1935,2319,1935,3855
2831,2575,2831,2063,1551,1935,2319,1935,3855
2959,2575,2831,2063,1551,1977,2447,1935,3855
2959,2575,2831,2063,1593,2041,2447,1935,3983
2980,2575,2873,2063,1679,2063,2447,1935,3983
3087,2575,2959,2063,1679,2063,2447,1935,3983
3087,2575,2959,2191,1679,2063,2511,2041,4111
3087,2575,3001,2191,1679,2063,2553,2063,4111
3087,2703,3087,2191,1679,2063,2575,2063,4111
3087,2767,3087,2233,1700,2063,2575,2063,4111
3087,2831,3087,2255,1700,2063,2575,2063,4111
3087,2831,3087,2319,1743,2063,2575,2063,4111
3087,2831,3087,2319,1743,2063,2575,2063,4111
3321,2831,3087,2319,1785,2063,2575,2063,4111
3343,2831,3087,2319,1807,2063,2575,2063,4196
3343,2831,3087,2319,1807,2063,2575,2063,4367
3343,2831,3087,2319,1807,2191,2575,2063,4367
3343,2916,3215,2319,1807,2191,2575,2063,4367
3343,2959,3343,2319,1807,2191,2575,2063,4367
3343,2959,3343,2319,1807,2191,2617,2063,4367
3343,2959,3343,2447,1807,2191,2703,2063,4367
3385,2959,3343,2447,1807,2233,2703,2148,4367
3471,3044,3343,2447,1807,2255,2788,2148,4367
3471,3065,3343,2447,1807,2255,2831,2191,4452
3471,3087,3343,2447,1807,2255,2831,2191,4495
3471,3087,3343,2447,1807,2319,2831,2191,4495
3492,3087,3343,2447,1807,2319,2831,2191,4495
3535,3087,3385,2489,1807,2319,2831,2191,4495
3577,3087,3471,2511,1807,2319,2831,2191,4580
3599,3087,3471,2511,1828,2319,2831,2191,4623
3599,3087,3471,2532,1871,2319,2831,2212,4623
3599,3087,3471,2575,1913,2319,2831,2212,4623
3599,3087,3471,2575,1935,2319,2831,2255,4623
3599,3087,3471,2575,1935,2319,2831,2255,4623
3599,3087,3471,2575,1935,2319,2831,2276,4623
3599,3087,3535,2575,1935,2319,2831,2255,4623
3599,3087,3535,2575,1935,2319,2831,2255,4623
3599,3087,3599,2575,1935,2319,2831,2255,4623
3599,3087,3599,2575,1935,2319,2831,2276,4623
3599,3087,3599,2575,1935,2319,2831,2319,4623
3599,3087,3599,2575,1935,2319,2873,2319,4623
3599,3087,3599,2575,1935,2319,2959,2361,4623
3599,3087,3599,2575,1935,2319,2959,2319,4623
3599,3087,3599,2575,1935,2319,2959,2319,4623
3599,3087,3599,2575,1935,2319,2959,2319,4623
3599,3215,3599,2575,1935,2319,2959,2319,4623
3599,3321,3599,2575,1935,2319,2959,2319,4623
3599,3321,3599,2575,1935,2447,2959,2319,4623
3599,3343,3599,2575,1935,2447,2959,2319,4623
3599,3343,3599,2575,1935,2447,2959,2319,4623
3599,3343,3599,2575,1935,2447,2959,2319,4623
3599,3343,3599,2575,1935,2447,2959,2319,4623
3641,3343,3599,2575,1999,2447,2959,2319,4623
3705,3343,3599,2575,1956,2447,2980,2319,4623
3769,3343,3599,2575,1999,2447,3023,2319,4708
3769,3343,3599,2575,1999,2447,3023,2319,4879
3791,3343,3599,2575,1999,2447,3044,2319,4879
3812,3343,3599,2575,1999,2447,3065,2319,4879
3855,3343,3599,2575,2041,2447,3087,2319,4879
3855,3343,3599,2575,2063,2447,3087,2319,4879
3855,3343,3599,2575,2041,2447,3087,2319,4879
3855,3343,3599,2575,2041,2447,3087,2319,4879
3855,3343,3599,2575,2063,2447,3087,2319,4879
3855,3343,3705,2575,2063,2447,3087,2319,4879
3855,3343,3641,2575,2063,2447,3087,2319,4879
3855,3343,3769,2575,2063,2447,3087,2319,4879
3855,3343,3791,2575,2063,2447,3087,2319,4879
3855,3343,3791,2575,2063,2447,3087,2319,4879
3855,3343,3833,2660,2063,2447,3087,2319,4879
3855,3343,3791,2660,2063,2447,3087,2319,4879
3855,3343,3855,2660,2063,2468,3087,2319,4879
3855,3343,3855,2703,2063,2468,3087,2319,4879
3855,3343,3855,2703,2063,2447,3087,2319,4879
3855,3343,3855,2703,2063,2511,3087,2319,4879
3855,3343,3855,2703,2063,2511,3087,2319,4879
3855,3343,3855,2703,2063,2511,3087,2319,4879
3855,3343,3855,2703,2063,2511,3087,2319,4879
3855,3343,3855,2703,2063,2511,3087,2319,4879
3855,3343,3855,2703,2063,2511,3087,2319,4879
3855,3343,3855,2724,2063,2511,3087,2319,4879
3855,3343,3855,2745,2063,2511,3087,2319,4879
3855,3471,3855,2724,2063,2511,3087,2319,4879
3855,3471,3855,2788,2063,2511,3087,2319,4879
3855,3471,3855,2767,2063,2511,3087,2319,4879
3855,3471,3855,2767,2063,2511,3087,2319,4879
3855,3471,3855,2745,2063,2511,3087,2319,4879
3855,3471,3855,2788,2063,2511,3087,2319,4879
3855,3471,3855,2788,2063,2511,3087,2319,4879
3855,3471,3855,2809,2063,2532,3087,2319,4879
3855,3471,3855,2831,2063,2511,3087,2319,4879
3855,3471,3855,2809,2063,2532,3087,2319,4879
3855,3471,3855,2809,2063,2532,3087,2319,4921
3855,3471,3855,2831,2063,2575,3087,2319,5007
3855,3471,3855,2831,2063,2575,3087,2319,5007
3855,3471,3855,2831,2063,2553,3087,2319,4879
3855,3471,3855,2831,2063,2532,3087,2319,4879
3855,3471,3855,2831,2063,2511,3087,2319,4879
3855,3471,3855,2831,2063,2468,3087,2319,4879
3855,3471,3855,2767,2063,2447,3087,2319,4879
3855,3471,3855,2767,2063,2447,3087,2319,4879
3855,3471,3855,2767,2063,2447,3087,2319,4879
3855,3471,3855,2724,2063,2447,3087,2319,4879
3855,3471,3855,2703,2063,2447,3087,2319,4879
3855,3471,3855,2703,2063,2447,3087,2319,4879
3855,3471,3855,2703,2063,2447,3087,2319,4879
3855,3471,3855,2703,2063,2447,3087,2319,4879
3855,3471,3855,2660,2020,2447,3087,2319,4879
3855,3471,3855,2575,1999,2447,3087,2319,4879
3855,3471,3855,2575,1999,2447,3087,2319,4879
3855,3471,3855,2575,1977,2447,3087,2319,4879
3855,3385,3855,2575,1956,2447,3044,2319,4623
3855,3343,3855,2575,1956,2404,3023,2297,4623
3855,3343,3855,2575,1935,2447,3001,2255,4623
3855,3343,3791,2575,1935,2319,2980,2255,4623
3855,3343,3769,2575,1935,2319,2959,2255,4623
3855,3343,3599,2575,1935,2319,2959,2255,4623
3855,3343,3599,2575,1935,2319,2959,2255,4623
3855,3343,3599,2575,1935,2319,2959,2212,4623
3791,3343,3599,2575,1935,2319,2959,2191,4623
3641,3343,3599,2575,1935,2319,2959,2191,4623
3599,3343,3599,2575,1935,2319,2959,2191,4623
3599,3343,3599,2575,1935,2319,2959,2191,4623
3599,3343,3599,2575,1935,2319,2831,2191,4623
3599,3343,3599,2575,1935,2319,2831,2191,4623
3599,3343,3599,2575,1935,2319,2831,2191,4623
3599,3343,3599,2575,1935,2319,2831,2191,4623
3599,3343,3599,2575,1913,2319,2831,2191,4623
3599,3087,3599,2575,1849,2319,2831,2191,4623
3599,3087,3599,2575,1871,2319,2831,2191,4623
3599,3087,3599,2575,1807,2319,2831,2063,4623
3599,3087,3599,2575,1807,2319,2831,2063,4537
3599,3087,3556,2575,1807,2319,2831,2063,4495
3599,3087,3535,2575,1807,2319,2831,2063,4495
3599,3087,3471,2511,1807,2255,2831,2063,4495
3599,3087,3471,2511,1807,2255,2831,2063,4495
3599,3087,3471,2511,1807,2255,2831,2063,4495
3556,3087,3471,2511,1807,2255,2831,2063,4495
3535,3087,3471,2447,1807,2255,2831,2063,4409
3471,3087,3471,2468,1807,2255,2831,2063,4367
3471,3087,3471,2447,1807,2255,2831,2063,4367
3471,3087,3343,2447,1807,2191,2831,2063,4367
3471,3087,3343,2447,1807,2191,2831,2063,4367
3471,3087,3343,2447,1807,2191,2831,2063,4367
3471,3087,3343,2447,1807,2191,2788,2063,4367
3471,3087,3343,2447,1807,2191,2767,2063,4367
3471,3087,3343,2447,1807,2191,2767,2063,4367
3385,3087,3343,2447,1807,2191,2745,2063,4367
3343,3087,3343,2447,1807,2191,2703,2063,4367
3343,3087,3343,2447,1807,2191,2724,2063,4367
3343,3087,3343,2404,1807,2191,2703,2063,4367
3343,3087,3343,2447,1807,2191,2703,2063,4367
3343,3023,3343,2447,1807,2191,2703,2063,4367
3343,3001,3343,2361,1807,2191,2703,2063,4367
3343,2980,3343,2319,1807,2191,2703,2063,4367
3343,2959,3343,2319,1807,2191,2703,2063,4367
3343,2959,3343,2319,1807,2191,2575,2063,4367
3343,2959,3343,2319,1807,2148,2575,2063,4367
3343,2959,3343,2319,1807,2191,2575,2063,4367
3343,2959,3343,2319,1807,2105,2575,2063,4367
3343,2959,3343,2319,1807,2105,2575,2063,4367
3343,2959,3300,2319,1807,2063,2575,2063,4367
3343,2959,3279,2319,1807,2063,2575,2063,4367
3343,2959,3279,2319,1807,2063,2575,2063,4367
3343,2959,3087,2319,1807,2063,2575,2063,4367
3343,2959,3087,2319,1807,2063,2575,2063,4367
3343,2959,3087,2319,1807,2063,2575,2063,4367
3343,2873,3087,2319,1807,2063,2575,2063,4367
3343,2873,3087,2319,1807,2063,2575,2063,4367
3343,2831,3087,2319,1807,2063,2575,2063,4196
3321,2831,3087,2319,1807,2063,2575,2063,4111
3300,2831,3087,2319,1807,2063,2575,2063,4196
3151,2831,3087,2319,1807,2063,2575,2063,4111
3087,2831,3087,2319,1807,2063,2575,2063,4111
3087,2831,3087,2319,1807,2063,2575,2063,4111
3087,2831,3087,2319,1807,2063,2575,2063,4111
