pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9
248,224,256,176,128,158,192,144,312
248,224,256,176,128,160,192,144,312
248,224,256,176,128,158,192,144,312
248,224,256,176,128,156,192,144,312
248,224,256,176,128,156,192,144,304
248,224,256,176,128,154,192,144,304
248,224,256,176,128,152,192,144,304
245,224,256,176,128,152,192,144,304
242,224,256,176,128,152,192,144,304
240,224,256,172,126,152,192,144,304
240,224,256,168,124,152,192,140,304
240,224,256,168,124,152,192,140,298
240,224,250,168,120,152,189,140,293
240,220,248,162,120,144,188,140,288
240,220,248,160,120,144,184,137,288
240,216,248,160,120,144,184,137,288
240,216,248,160,120,144,184,136,288
240,216,248,160,120,144,184,136,288
240,216,240,160,120,144,184,136,288
240,216,240,160,120,144,184,136,288
240,216,240,160,120,144,184,136,288
240,216,240,160,120,144,184,136,288
240,216,240,160,120,144,178,136,288
240,208,240,160,120,144,176,136,288
236,208,240,160,120,144,176,136,288
236,208,240,160,120,144,176,133,288
228,208,240,160,120,144,176,136,288
224,208,240,160,120,144,176,130,288
224,208,237,160,120,144,176,128,288
224,208,236,160,116,144,176,128,288
224,208,224,160,112,144,176,128,288
224,208,224,160,113,144,176,128,288
224,208,224,160,112,144,176,128,280
224,208,224,160,112,142,176,128,280
224,208,224,160,112,140,176,128,280
224,208,224,160,112,140,176,128,280
224,208,224,158,112,140,176,128,280
224,196,224,157,112,140,176,128,280
224,192,224,156,112,140,176,128,280
224,192,224,156,112,140,176,128,272
224,192,224,156,112,137,176,128,272
224,192,224,153,112,136,176,128,272
224,192,224,152,112,136,176,128,272
224,192,224,152,112,136,173,128,272
221,192,224,152,112,136,173,128,272
220,192,224,152,112,136,172,128,272
217,192,224,152,112,136,172,128,272
216,192,220,152,112,136,168,128,272
216,192,217,152,112,136,168,128,272
216,192,216,152,112,136,168,128,272
216,192,216,152,112,136,168,128,272
216,192,216,152,112,136,168,128,272
216,192,216,152,112,136,168,128,272
216,192,216,152,112,136,160,128,272
213,192,216,149,112,136,160,128,272
210,192,216,149,112,136,160,128,272
208,192,213,144,112,133,160,128,272
208,192,210,144,112,136,160,128,272
208,192,208,144,112,128,160,128,272
208,192,208,144,112,128,160,128,272
208,192,208,144,112,128,160,128,272
208,192,208,144,112,128,160,128,272
208,190,208,144,112,128,160,128,266
208,188,208,144,112,128,160,128,272
208,189,208,144,112,128,160,128,256
208,184,208,144,112,128,160,128,256
208,184,208,144,112,128,160,128,256
208,184,208,144,112,128,160,128,256
208,184,208,144,112,128,160,128,256
208,184,208,144,112,128,160,128,256
208,184,208,144,112,128,160,128,256
208,184,208,144,112,128,160,128,256
208,184,208,144,112,128,160,128,256
208,184,208,144,112,128,160,128,256
208,184,208,144,109,128,160,128,256
208,184,208,144,108,128,160,128,256
208,184,208,144,109,128,160,128,256
208,184,208,144,109,128,160,128,256
206,184,208,144,108,128,160,128,256
197,176,208,144,108,128,160,128,256
200,178,206,144,108,128,160,128,256
196,176,204,144,108,128,160,128,256
192,176,196,144,108,128,160,128,256
192,176,192,144,108,128,160,128,256
192,176,192,144,108,128,160,128,256
192,176,192,144,108,128,160,128,256
192,176,192,144,108,128,160,128,256
192,176,192,144,108,128,160,126,256
192,176,192,144,108,128,160,128,256
192,176,192,144,108,128,160,125,256
192,176,192,144,108,128,160,128,256
192,176,192,144,108,128,160,125,256
192,176,192,144,105,128,160,125,256
192,176,192,144,106,128,160,124,256
192,176,192,144,106,128,160,125,256
192,176,192,144,104,128,160,124,256
192,176,192,141,106,128,160,124,256
192,176,192,142,104,128,160,125,256
192,176,192,142,104,128,160,124,256
192,176,192,140,104,128,160,124,256
192,176,192,141,104,128,160,124,256
192,176,192,140,104,128,160,122,256
192,176,192,141,104,128,160,121,256
192,176,192,140,104,128,160,121,256
192,176,192,140,104,128,160,122,256
192,176,192,140,104,128,160,121,256
192,176,192,138,104,128,160,120,261
192,176,192,140,104,128,160,120,256
192,176,192,140,104,128,160,125,256
192,176,192,140,105,128,160,128,256
192,176,192,144,108,128,160,128,256
192,176,192,144,108,128,160,128,256
192,176,192,144,112,128,160,128,256
192,176,196,144,112,128,160,128,272
192,176,208,144,112,136,160,128,272
192,184,208,144,112,136,165,128,272
200,184,208,152,112,136,168,128,272
208,184,208,152,112,136,174,128,272
208,184,208,152,112,140,176,128,272
208,189,213,152,112,140,176,128,280
208,192,216,152,112,144,176,128,280
208,192,216,156,112,144,176,136,280
208,192,216,156,112,144,176,136,282
208,192,224,160,114,144,176,136,288
210,192,224,160,116,144,176,136,288
213,192,224,160,120,144,176,136,288
216,192,224,160,120,144,176,136,288
216,192,224,160,120,144,176,137,288
216,192,224,160,120,144,176,137,288
217,192,224,160,120,144,184,140,288
217,192,224,160,120,144,184,140,288
221,192,224,160,120,144,184,140,288
224,192,224,160,120,144,184,140,288
224,192,224,160,120,144,184,140,288
224,208,224,160,120,144,184,140,288
224,208,230,160,120,144,184,142,288
224,208,236,160,120,144,184,140,288
224,208,240,160,120,149,184,142,288
224,208,240,160,120,152,184,144,288
224,208,240,160,120,152,184,144,288
224,208,240,160,120,152,185,144,288
224,208,240,160,120,152,189,144,288
224,208,240,160,120,152,186,144,288
224,208,240,160,120,152,192,144,288
224,208,240,160,122,152,192,144,288
224,208,240,160,120,152,192,144,304
224,208,240,160,121,152,192,144,288
224,208,240,160,124,152,192,144,304
224,208,240,160,121,152,192,144,304
224,208,240,162,121,152,192,144,304
224,208,240,160,124,152,192,144,304
224,208,240,160,124,152,192,144,304
224,208,240,160,124,152,192,144,304
224,208,240,165,122,152,192,144,304
224,208,240,160,125,152,192,144,304
224,208,240,162,124,152,192,144,304
226,208,240,168,124,152,192,144,304
224,208,240,168,126,152,192,144,304
226,208,240,168,125,152,192,144,304
232,216,240,168,125,152,192,144,304
226,216,245,168,125,152,192,144,304
233,216,242,168,126,152,192,144,304
234,216,248,168,125,152,192,144,304
234,216,248,168,126,152,192,144,304
237,216,248,168,126,152,192,144,304
237,216,248,168,126,152,192,144,304
240,216,248,168,128,152,192,144,304
240,216,248,168,128,152,192,144,304
240,216,248,169,126,152,192,144,304
240,216,248,168,128,152,192,144,304
240,216,248,168,128,152,192,144,304
240,216,248,168,128,152,192,144,304
240,216,248,169,128,152,192,144,304
240,216,248,172,128,152,192,144,304
240,216,248,170,128,152,192,144,304
240,216,248,170,128,152,192,144,304
240,216,248,170,128,152,192,144,304
240,216,250,170,128,152,192,144,304
240,216,248,170,128,152,192,144,304
240,216,248,172,128,152,192,144,304
240,216,248,173,128,152,192,144,304
240,216,248,172,128,152,192,144,304
240,216,248,170,128,152,192,144,304
240,216,248,172,128,152,192,144,304
240,216,248,173,128,152,192,144,304
240,216,248,172,128,152,192,144,304
240,216,248,173,128,152,192,144,304
240,216,254,172,128,152,192,144,304
240,216,253,173,128,152,192,144,304
240,216,253,173,128,152,192,144,304
240,216,253,172,128,152,192,144,304
240,216,256,173,128,152,192,144,304
240,216,254,173,128,152,192,144,304
240,216,256,173,128,152,192,144,304
240,216,256,174,128,152,192,144,304
240,216,256,174,128,152,192,144,304
240,216,256,173,128,152,192,144,304
240,217,256,173,128,152,192,144,304
240,217,256,173,128,152,192,144,304
240,217,256,176,128,152,192,144,304
240,216,256,176,128,152,192,144,304
240,216,256,174,128,152,192,144,304
240,216,256,174,128,152,192,144,304
240,220,256,173,128,152,192,144,304
240,220,256,176,128,152,192,144,304
240,218,256,176,128,152,192,144,304
240,220,256,174,128,152,192,144,304
240,218,256,176,128,152,192,144,304
240,220,256,174,128,152,192,144,304
240,220,256,176,128,152,192,144,304
240,220,256,176,128,153,192,144,304
240,220,256,176,128,152,192,144,304
240,221,256,176,128,152,192,144,304
240,220,256,174,128,152,192,144,304
236,208,240,160,120,144,184,136,288
230,208,240,160,120,144,176,136,288
226,208,240,160,120,144,176,136,288
224,208,240,160,120,144,176,136,288
224,208,240,160,118,144,176,133,288
224,208,240,160,117,144,176,128,288
224,208,240,160,116,144,176,128,288
224,208,236,160,112,144,176,128,288
224,208,229,160,112,144,176,128,288
224,208,224,160,112,144,176,128,288
224,208,224,160,112,144,176,128,280
224,208,224,160,112,140,176,128,280
224,208,224,160,112,140,176,128,280
224,208,224,160,112,140,176,128,280
224,205,224,160,112,140,176,128,280
