pixel1,pixel2,pixel3,pixel4,pixel5
884,8975,0,5647,1935
884,9231,0,5391,1807
881,9231,0,5391,1807
885,9231,0,5391,1807
885,8975,0,5135,1807
847,9231,0,5135,1807
885,9231,0,5135,1743
885,9231,0,5135,1743
885,9231,0,5135,1679
885,8975,0,5135,1743
885,9231,0,5135,1679
885,9231,0,5135,1679
885,9231,0,5135,1679
896,9231,0,5135,1679
896,9231,0,5135,1679
896,9231,0,5135,1679
896,9231,0,5135,1679
885,8975,0,5135,1679
896,9231,0,5135,1679
896,9231,0,5135,1679
896,8975,0,5135,1679
896,9231,0,5135,1679
896,8975,0,5135,1679
896,8975,0,5135,1679
896,8975,0,5135,1679
896,8975,0,5135,1551
896,8975,0,5135,1551
896,9231,0,5135,1551
900,9231,0,5135,1551
896,9231,0,5135,1551
896,8975,0,5135,1551
896,9231,0,5135,1551
896,8975,0,5007,1551
896,8975,0,5007,1551
896,8975,0,5135,1551
896,8975,0,5007,1551
896,8975,0,5007,1551
896,9231,0,5007,1551
896,9231,0,5007,1551
896,8975,0,5007,1551
896,8975,0,5007,1551
900,8975,0,5007,1551
897,9231,0,5007,1551
896,8975,0,5007,1551
900,8975,0,5007,1551
897,8975,0,5007,1551
896,8975,0,5007,1551
897,8975,0,5007,1551
901,9231,0,5007,1551
896,8975,0,5007,1551
900,9231,0,5007,1551
900,8975,0,5007,1551
900,9231,0,5007,1551
900,9231,0,5007,1551
900,8975,0,5007,1551
900,8975,0,5007,1551
901,8975,0,5007,1551
901,8975,0,5007,1551
897,9231,0,5007,1551
901,9231,0,5007,1551
900,8975,0,5007,1551
901,9231,0,5007,1551
901,9231,0,5007,1551
900,9231,0,5007,1551
901,9231,0,5007,1551
900,8975,0,5007,1551
901,9231,0,5007,1551
900,9231,0,5007,1551
901,9231,0,5007,1551
900,9231,0,5007,1551
901,8975,0,5007,1551
901,9231,0,5007,1551
901,9231,0,5007,1551
901,8975,0,5007,1551
901,8975,0,5007,1551
907,9231,0,5007,1551
903,8975,0,5007,1551
907,9231,0,5007,1551
901,9231,0,5007,1551
901,9231,0,5007,1551
903,8975,0,5007,1551
901,9231,0,5007,1551
907,9231,0,5007,1551
907,9231,0,5007,1551
901,8975,0,5007,1551
907,8975,0,5007,1551
901,8975,0,5007,1551
903,8975,0,5007,1551
907,8975,0,5007,1551
903,8975,0,5007,1551
907,8975,0,5007,1551
907,9231,0,5007,1551
907,9231,0,5007,1551
907,8975,0,5007,1551
909,8975,0,5007,1551
907,8975,0,5007,1551
907,9231,0,5007,1551
901,9231,0,5007,1551
907,8975,0,5007,1551
907,8975,0,5007,1551
907,9231,0,5007,1551
907,9231,0,5007,1551
907,8975,0,5007,1551
903,8975,0,5007,1551
907,9231,0,5007,1551
907,9231,0,5007,1551
907,8975,0,5007,1551
911,8975,0,5007,1551
911,9231,0,5007,1551
907,9231,0,5007,1551
911,8975,0,5007,1551
907,8975,0,5007,1551
907,8975,0,5007,1551
911,8975,0,5007,1551
907,8975,0,5007,1551
907,8975,0,5007,1551
907,8719,0,5007,1551
907,9231,0,5007,1551
909,9231,0,5007,1551
907,9231,0,5007,1551
907,9231,0,5007,1551
907,9231,0,5007,1551
907,9231,0,5007,1551
911,9231,0,5007,1551
907,9231,0,5135,1551
911,9231,0,5135,1551
911,8975,0,5007,1551
911,8975,0,5007,1551
911,8975,0,5007,1551
911,9231,0,5007,1551
911,8975,0,5007,1551
911,9231,0,5007,1551
907,9231,0,5007,1551
911,9231,0,5007,1551
911,8719,0,5007,1551
911,8975,0,5007,1551
907,8975,0,5007,1551
911,8975,0,5007,1551
911,8975,0,5007,1551
911,9231,0,5007,1551
911,8975,0,5007,1551
911,8975,0,5007,1551
911,8975,0,5007,1551
911,8975,0,5007,1551
911,8975,0,5007,1551
911,8719,0,5007,1551
911,8975,0,5007,1551
911,8975,0,5007,1551
911,8975,0,5007,1551
911,8975,0,5007,1551
911,8975,0,5007,1551
911,9231,0,5007,1551
911,8975,0,5007,1551
911,9231,0,5007,1551
911,9231,0,5007,1551
911,8975,0,5007,1551
911,9231,0,5007,1551
911,8975,0,5007,1551
911,8975,0,5007,1551
911,8975,0,5007,1551
911,8975,0,5007,1551
911,8975,0,5007,1551
911,8719,0,5007,1551
911,8975,0,5007,1551
911,8975,0,5007,1551
911,8975,0,5007,1551
911,8975,0,5007,1551
911,9231,0,5007,1551
911,8975,0,5007,1551
911,9231,0,5007,1551
911,8975,0,5007,1551
911,9231,0,5007,1551
911,8719,0,5007,1551
911,8719,0,5007,1551
911,8975,0,5007,1551
911,8975,0,5007,1551
911,8975,0,5007,1551
911,9231,0,5007,1551
911,9231,0,5007,1551
911,8975,0,5007,1551
911,9231,0,5007,1551
911,9231,0,5007,1551
911,9231,0,5007,1551
911,8975,0,5007,1551
911,9231,0,5007,1551
911,9231,0,5007,1551
911,9231,0,5007,1551
911,8975,0,5007,1551
911,8975,0,5007,1551
911,8975,0,5007,1551
